settlement_date,region,fuel_source,total_mw
2026/07/28 01:50:00,QLD1,Unknown,0.0
2026/07/28 01:50:00,QLD1,Waste Coal Mine Gas,39.937
2026/07/28 01:50:00,QLD1,Wind,934.423
2026/07/28 01:50:00,SA1,Battery Storage,-133.582
2026/07/28 01:50:00,SA1,Diesel,-0.1
2026/07/28 01:50:00,SA1,Natural Gas,43.463
2026/07/28 01:50:00,SA1,Natural Gas / Diesel,0.0
2026/07/28 01:50:00,SA1,Natural Gas / Fuel Oil,0.0
2026/07/28 01:50:00,SA1,Solar,0.0
2026/07/28 01:50:00,SA1,Wind,1767.957
2026/07/28 01:50:00,TAS1,Hydro,164.379
2026/07/28 01:50:00,TAS1,Natural Gas,123.48
2026/07/28 01:50:00,TAS1,Wind,447.687
2026/07/28 01:50:00,VIC1,Battery Storage,-206.25
2026/07/28 01:50:00,VIC1,Brown Coal,3213.812
2026/07/28 01:50:00,VIC1,Hydro,1.71
2026/07/28 01:50:00,VIC1,Natural Gas,0.0
2026/07/28 01:50:00,VIC1,Solar,0.0
2026/07/28 01:50:00,VIC1,Wind,3485.493
2026/07/28 03:55:00,NSW1,Bagasse,41.947
2026/07/28 03:55:00,NSW1,Battery Storage,-363.278
2026/07/28 03:55:00,NSW1,Black Coal,5296.86
2026/07/28 03:55:00,NSW1,Diesel,0.0
2026/07/28 03:55:00,NSW1,Hydro,270.184
2026/07/28 03:55:00,NSW1,Natural Gas,44.56
2026/07/28 03:55:00,NSW1,Natural Gas / Diesel,0.0
2026/07/28 03:55:00,NSW1,Solar,-0.266
2026/07/28 03:55:00,NSW1,Unknown,0.0
2026/07/28 03:55:00,NSW1,Wind,826.208
2026/07/28 03:55:00,QLD1,Bagasse,11.2
2026/07/28 03:55:00,QLD1,Bagasse / Diesel,10.0
2026/07/28 03:55:00,QLD1,Battery Storage,-251.738
2026/07/28 03:55:00,QLD1,Black Coal,5253.466
2026/07/28 03:55:00,QLD1,Coal Seam Methane,0.524
2026/07/28 03:55:00,QLD1,Hydro,53.273
2026/07/28 03:55:00,QLD1,Kerosene,0.878
2026/07/28 03:55:00,QLD1,Natural Gas,149.718
2026/07/28 03:55:00,QLD1,Solar,0.01
2026/07/28 03:55:00,QLD1,Unknown,0.0
2026/07/28 03:55:00,QLD1,Waste Coal Mine Gas,46.393
2026/07/28 03:55:00,QLD1,Wind,747.072
2026/07/28 03:55:00,SA1,Battery Storage,-190.307
2026/07/28 03:55:00,SA1,Diesel,-0.1
2026/07/28 03:55:00,SA1,Natural Gas,43.463
2026/07/28 03:55:00,SA1,Natural Gas / Diesel,0.0
2026/07/28 03:55:00,SA1,Natural Gas / Fuel Oil,0.0
2026/07/28 03:55:00,SA1,Solar,0.0
2026/07/28 03:55:00,SA1,Wind,1456.163
2026/07/28 03:55:00,TAS1,Hydro,175.297
2026/07/28 03:55:00,TAS1,Natural Gas,123.57
2026/07/28 03:55:00,TAS1,Wind,435.916
2026/07/28 03:55:00,VIC1,Battery Storage,-72.433
2026/07/28 03:55:00,VIC1,Brown Coal,3138.188
2026/07/28 03:55:00,VIC1,Hydro,1.61
2026/07/28 03:55:00,VIC1,Natural Gas,0.0
2026/07/28 03:55:00,VIC1,Solar,0.0
2026/07/28 03:55:00,VIC1,Wind,3440.924
2026/07/28 05:55:00,NSW1,Bagasse,38.781
2026/07/28 05:55:00,NSW1,Battery Storage,49.379
2026/07/28 05:55:00,NSW1,Black Coal,5761.177
2026/07/28 05:55:00,NSW1,Diesel,0.0
2026/07/28 05:55:00,NSW1,Hydro,535.856
2026/07/28 05:55:00,NSW1,Natural Gas,42.17
2026/07/28 05:55:00,NSW1,Natural Gas / Diesel,0.0
2026/07/28 05:55:00,NSW1,Solar,-0.246
2026/07/28 05:55:00,NSW1,Unknown,0.0
2026/07/28 05:55:00,NSW1,Wind,893.522
2026/07/28 05:55:00,QLD1,Bagasse,11.3
2026/07/28 05:55:00,QLD1,Bagasse / Diesel,10.0
2026/07/28 05:55:00,QLD1,Battery Storage,71.047
2026/07/28 05:55:00,QLD1,Black Coal,5681.983
2026/07/28 05:55:00,QLD1,Coal Seam Methane,0.524
2026/07/28 05:55:00,QLD1,Hydro,87.278
2026/07/28 05:55:00,QLD1,Kerosene,0.878
2026/07/28 05:55:00,QLD1,Natural Gas,145.117
2026/07/28 05:55:00,QLD1,Solar,0.01
2026/07/28 05:55:00,QLD1,Unknown,0.0
2026/07/28 05:55:00,QLD1,Waste Coal Mine Gas,43.193
2026/07/28 05:55:00,QLD1,Wind,681.255
2026/07/28 05:55:00,SA1,Battery Storage,-9.159
2026/07/28 05:55:00,SA1,Diesel,-0.1
2026/07/28 05:55:00,SA1,Natural Gas,42.792
2026/07/28 05:55:00,SA1,Natural Gas / Diesel,0.0
2026/07/28 05:55:00,SA1,Natural Gas / Fuel Oil,0.0
2026/07/28 05:55:00,SA1,Solar,0.0
2026/07/28 05:55:00,SA1,Wind,1488.794
2026/07/28 05:55:00,TAS1,Hydro,215.178
2026/07/28 05:55:00,TAS1,Natural Gas,124.2
2026/07/28 05:55:00,TAS1,Wind,496.656
2026/07/28 05:55:00,VIC1,Battery Storage,-1.105
2026/07/28 05:55:00,VIC1,Brown Coal,3251.375
2026/07/28 05:55:00,VIC1,Hydro,1.71
2026/07/28 05:55:00,VIC1,Natural Gas,0.0
2026/07/28 05:55:00,VIC1,Solar,0.0
2026/07/28 05:55:00,VIC1,Wind,3714.12
2026/07/28 07:25:00,NSW1,Bagasse,41.56
2026/07/28 07:25:00,NSW1,Battery Storage,627.619
2026/07/28 07:25:00,NSW1,Black Coal,6398.053
2026/07/28 07:25:00,NSW1,Diesel,0.0
2026/07/28 07:25:00,NSW1,Hydro,819.469
2026/07/28 07:25:00,NSW1,Natural Gas,42.77
2026/07/28 07:25:00,NSW1,Natural Gas / Diesel,0.0
2026/07/28 07:25:00,NSW1,Solar,134.197
2026/07/28 07:25:00,NSW1,Unknown,0.0
2026/07/28 07:25:00,NSW1,Wind,711.555
2026/07/28 07:25:00,QLD1,Bagasse,11.2
2026/07/28 07:25:00,QLD1,Bagasse / Diesel,10.0
2026/07/28 07:25:00,QLD1,Battery Storage,1102.377
2026/07/28 07:25:00,QLD1,Black Coal,5816.26
2026/07/28 07:25:00,QLD1,Coal Seam Methane,0.524
2026/07/28 07:25:00,QLD1,Hydro,248.265
2026/07/28 07:25:00,QLD1,Kerosene,0.878
2026/07/28 07:25:00,QLD1,Natural Gas,129.468
2026/07/28 07:25:00,QLD1,Solar,471.195
2026/07/28 07:25:00,QLD1,Unknown,0.0
2026/07/28 07:25:00,QLD1,Waste Coal Mine Gas,30.659
2026/07/28 07:25:00,QLD1,Wind,638.843
2026/07/28 07:25:00,SA1,Battery Storage,-41.0
2026/07/28 07:25:00,SA1,Diesel,-0.2
2026/07/28 07:25:00,SA1,Natural Gas,43.463
2026/07/28 07:25:00,SA1,Natural Gas / Diesel,0.0
2026/07/28 07:25:00,SA1,Natural Gas / Fuel Oil,0.0
2026/07/28 07:25:00,SA1,Solar,0.0
2026/07/28 07:25:00,SA1,Wind,1110.659
2026/07/28 07:25:00,TAS1,Hydro,894.573
2026/07/28 07:25:00,TAS1,Natural Gas,125.19
2026/07/28 07:25:00,TAS1,Wind,510.683
2026/07/28 07:25:00,VIC1,Battery Storage,410.189
2026/07/28 07:25:00,VIC1,Brown Coal,3855.25
2026/07/28 07:25:00,VIC1,Hydro,17.21
2026/07/28 07:25:00,VIC1,Natural Gas,0.0
2026/07/28 07:25:00,VIC1,Solar,0.0
2026/07/28 07:25:00,VIC1,Wind,4270.82
2026/07/28 09:20:00,NSW1,Bagasse,33.501
2026/07/28 09:20:00,NSW1,Battery Storage,-71.639
2026/07/28 09:20:00,NSW1,Black Coal,4642.158
2026/07/28 09:20:00,NSW1,Diesel,0.0
2026/07/28 09:20:00,NSW1,Hydro,0.0
2026/07/28 09:20:00,NSW1,Natural Gas,42.1
2026/07/28 09:20:00,NSW1,Natural Gas / Diesel,0.0
2026/07/28 09:20:00,NSW1,Solar,2124.124
2026/07/28 09:20:00,NSW1,Unknown,0.0
2026/07/28 09:20:00,NSW1,Wind,782.741
2026/07/28 09:20:00,QLD1,Bagasse,-2.7
2026/07/28 09:20:00,QLD1,Bagasse / Diesel,10.1
2026/07/28 09:20:00,QLD1,Battery Storage,-3.815
2026/07/28 09:20:00,QLD1,Black Coal,3857.992
2026/07/28 09:20:00,QLD1,Coal Seam Methane,0.524
2026/07/28 09:20:00,QLD1,Hydro,53.392
2026/07/28 09:20:00,QLD1,Kerosene,0.878
2026/07/28 09:20:00,QLD1,Natural Gas,124.058
2026/07/28 09:20:00,QLD1,Solar,2516.124
2026/07/28 09:20:00,QLD1,Unknown,244.52
2026/07/28 09:20:00,QLD1,Waste Coal Mine Gas,14.059
2026/07/28 09:20:00,QLD1,Wind,142.044
2026/07/28 09:20:00,SA1,Battery Storage,-2.049
2026/07/28 09:20:00,SA1,Diesel,-0.2
2026/07/28 09:20:00,SA1,Natural Gas,43.463
2026/07/28 09:20:00,SA1,Natural Gas / Diesel,0.0
2026/07/28 09:20:00,SA1,Natural Gas / Fuel Oil,0.0
2026/07/28 09:20:00,SA1,Solar,128.603
2026/07/28 09:20:00,SA1,Wind,1589.31
2026/07/28 09:20:00,TAS1,Hydro,820.102
2026/07/28 09:20:00,TAS1,Natural Gas,124.62
2026/07/28 09:20:00,TAS1,Wind,488.36
2026/07/28 09:20:00,VIC1,Battery Storage,-586.674
2026/07/28 09:20:00,VIC1,Brown Coal,4210.25
2026/07/28 09:20:00,VIC1,Hydro,17.41
2026/07/28 09:20:00,VIC1,Natural Gas,0.0
2026/07/28 09:20:00,VIC1,Solar,548.679
2026/07/28 09:20:00,VIC1,Wind,3420.212
